State,Action,Reward,Next State
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",6.169592476489028,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[2, 2, 2, 1, 2, 2, 2]"
"[2, 2, 2, 1, 2, 2, 2]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[3, 3, 3, 2, 3, 3, 3]"
"[3, 3, 3, 2, 3, 3, 3]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[3, 3, 3, 2, 3, 3, 3]"
"[3, 3, 3, 2, 3, 3, 3]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[3, 3, 3, 2, 3, 3, 3]"
"[3, 3, 3, 2, 3, 3, 3]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[5, 4, 4, 3, 4, 4, 5]"
"[5, 4, 4, 3, 4, 4, 5]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[5, 4, 4, 3, 4, 4, 5]"
"[5, 4, 4, 3, 4, 4, 5]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[5, 4, 4, 3, 4, 4, 5]"
"[5, 4, 4, 3, 4, 4, 5]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[5, 4, 4, 3, 4, 4, 5]"
"[5, 4, 4, 3, 4, 4, 5]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[5, 4, 4, 3, 4, 4, 5]"
"[5, 4, 4, 3, 4, 4, 5]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[6, 5, 5, 4, 5, 5, 6]"
"[6, 5, 5, 4, 5, 5, 6]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[6, 5, 5, 4, 5, 5, 6]"
"[6, 5, 5, 4, 5, 5, 6]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[6, 5, 5, 4, 5, 5, 6]"
"[6, 5, 5, 4, 5, 5, 6]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[6, 5, 5, 4, 5, 5, 6]"
